Produto;Marca;Index
"Sandalia de Dedo Seringo Tamanho:39;cor:branca";Seringo;400
"Sandalia de Dedo Seringo Tamanho:39;cor:Mescla Vermelho";Seringo;401
"Sandalia de Dedo Seringo Tamanho:39;cor:Mescla Vinho";Seringo;402
"Sandalia de Dedo Seringo Tamanho:39;cor:Vinho";Seringo;403
"Sandalia de Dedo Seringo Tamanho:41;cor:branca";Seringo;404
"Sandalia de Dedo Seringo Tamanho:41;cor:Cinza";Seringo;405
"Sandalia de Dedo Seringo Tamanho:41;cor:Cinza Mesclado";Seringo;406
"Sandalia de Dedo Seringo Tamanho:41;cor:Mescla Branco Marrom";Seringo;407
"Sandalia de Dedo Seringo Tamanho:41;cor:Mescla Vinho Branco";Seringo;408
"Sandalia de Dedo Seringo Tamanho:41;cor:Mostarda";Seringo;409
"Sandalia de Dedo Seringo Tamanho:41;cor:Multicolorido";Seringo;410
"Sandalia de Dedo Seringo Tamanho:41;cor:Multicolorido Claro";Seringo;411
"Sandalia de Dedo Seringo Tamanho:41;cor:Offwhite";Seringo;412
"Sandalia de Dedo Seringo Tamanho:41;cor:Preta";Seringo;413
"Sandalia de Dedo Seringo Tamanho:41;cor:Verde";Seringo;414
"Sandalia de Dedo Seringo Tamanho:41;cor:Vinho";Seringo;415
"Sandalia de Dedo Seringo Tamanho:43;cor:branca";Seringo;416
"Sandalia de Dedo Seringo Tamanho:43;cor:Mescla Branco Verde Oliva";Seringo;417
"Sandalia de Dedo Seringo Tamanho:43;cor:Mescla Preto e Branco";Seringo;418
"Sandalia de Dedo Seringo Tamanho:43;cor:Mescla Vinho";Seringo;419
"Sandalia de Dedo Seringo Tamanho:43;cor:Preta";Seringo;420
ARGILA BRANCA 50G;Simbioze Amazonica;421
ARGILA BRANCA DA AMAZONIA + CUPUACU  50G;Simbioze Amazonica;422
Argila Branca da Amazonia + Cupuacu Bio 50 g  - Simbioze;Simbioze Amazonica;423
Argila Branca da Amazonia + Cupuacu Bio 50 g  - Simbioze Lote: 020920 Val 11/21;Simbioze Amazonica;424
Argila Branca da Amazonia + Cupuacu Bio 50 g  - Simbioze Lote: 030720 Val 07/21;Simbioze Amazonica;425
ARGILA BRANCA DA AMAZONIA + GUARANA E ACAI  50GA;Simbioze Amazonica;426
Argila Branca da Amazonia + Guarana+ Acai Bio 50g - Simbioze;Simbioze Amazonica;427
Argila Branca da Amazonia + Guarana+ Acai Bio 50g - Simbioze Lote: 070720 Val 11/21;Simbioze Amazonica;428
Argila Branca da Amazonia Bio 50 g  - Simbioze;Simbioze Amazonica;429
Argila Branca da Amazonia Bio 50 g  - Simbioze Lote: 010920 Val 09/22;Simbioze Amazonica;430
Argila Branca da Amazonica - Simbioze - 50g;Simbioze Amazonica;431
Argila Branca da Amazonica - Simbioze - 50g Lote: 210119 Val 01/21;Simbioze Amazonica;432
Argila Branca da Amazonica + Guarana+ Acai - Simbioze - 50g;Simbioze Amazonica;433
Argila Branca da Amazonica+ Cupuacu - Simbioze - 50g;Simbioze Amazonica;434
Argila Branca da Amazonica+ Cupuacu - Simbioze - 50g Lote: 240119 Val 01/21;Simbioze Amazonica;435
ARGILA BRANCA kg;Simbioze Amazonica;436
ARGILA NEGRA  50G;Simbioze Amazonica;437
Argila Negra - Simbioze -  50g;Simbioze Amazonica;438
ARGILA ROSA 50G;Simbioze Amazonica;439
ARGILA VERDE  50G;Simbioze Amazonica;440
Argila Verde - Simbioze - 50g;Simbioze Amazonica;441
Espuma de Limpeza Facial Lote: 270820 x144;Simbioze Amazonica;442
Espuma de Limpeza Facial Lote: 270820 x144  Lote 270820 Val 02/22;Simbioze Amazonica;443
Gel de Limpeza Facial Lote: 240820 x144;Simbioze Amazonica;444
Gel de Limpeza Facial Lote: 240820 x144  Lote240820 Val 02/22;Simbioze Amazonica;445
Oleo de Andiroba - 30ml - Simbioze;Simbioze Amazonica;446
Oleo de Andiroba - 30ml - Simbioze Lote: 260820 Val 05/22;Simbioze Amazonica;447
Oleo de Andiroba - 30ml - Simbioze Lote: 290620 Val 05/22;Simbioze Amazonica;448
OLEO DE CASTANHA SIMBIOZE;Simbioze Amazonica;449
OLEO DE CASTANHA SIMBIOZE Lote 250820 Val 06/21;Simbioze Amazonica;450
Oleo de Copaiba - Simbioze;Simbioze Amazonica;451
Oleo de Copaiba - Simbioze  Lote 280520 Val 05/21;Simbioze Amazonica;452
Oleo de Copaiba 30ml - Simbioze Lote:040920;Simbioze Amazonica;453
Oleo de Pataua - Simbioze;Simbioze Amazonica;454
Oleo de Pataua - Simbioze Lote: 200820 Val 07/21;Simbioze Amazonica;455
Oleo de Pataua - Simbioze Lote: 210420 Val 06/21;Simbioze Amazonica;456
Oleo de Pracaxi - Simbioze;Simbioze Amazonica;457
Oleo de Pracaxi - Simbioze Lote 240820;Simbioze Amazonica;458
Oleo Essencial Copaiba - 10 ml Lote: 070720;Simbioze Amazonica;459
Oleo Essencial Copaiba - 10 ml Lote: 070720 Val 10/21;Simbioze Amazonica;460
Oleo Essencial de Breu Branco - Simbioze - 10 ml;Simbioze Amazonica;461
Oleo Essencial de Breu Branco - Simbioze - 10 ml Lote 210220 Val 12/21;Simbioze Amazonica;462
Oleo Essencial de Breu Branco 10ml - Simbioze Lote:020920;Simbioze Amazonica;463
OLEO ESSENCIAL DE COPAIBA;Simbioze Amazonica;464
OLEO ESSENCIAL DE PRIPIOCA;Simbioze Amazonica;465
Oleo Essencial de Priprioca - Simbioze - 10 ml;Simbioze Amazonica;466
Oleo lidimo de Castanha 30ml - Simbioze Lote:101120;Simbioze Amazonica;467
OLEO VEGETAL DE ANDIROBA;Simbioze Amazonica;468
BISCOITO RARIBABA DE CASTANHA DO PARA 200g;Taberna da Amazônia;469
Acai em po -  200g - Terramazonia;Terramazonia;470
Acai em po - 200g - Terramazonia;Terramazonia;471
Acai em po 200g;Terramazonia;472
Camu Camu em po -  200g -  Terramazonia;Terramazonia;473
Camu Camu em po -  200g -  Terramazonia Lote 257 Val 07/22;Terramazonia;474
Camu Camu em po - 200g - Terramazonia;Terramazonia;475
Camu Camu em po 200g;Terramazonia;476
Cupuacu em po 200g;Terramazonia;477
Cupuacu em po 200g Lote:264 Val 08/22;Terramazonia;478
Cupuacu em po 200g Lote:275 Val 09/22;Terramazonia;479
Cupuacu em po Lote:275 Val 09/22;Terramazonia;480
Everyday Imunne - 140g - Terramazonia Superplants;Terramazonia;481
Everyday Imunne - 140g - Terramazonia Superplants  Lote 272 Val 08/21;Terramazonia;482
Everyday Imunne 150g - Terramazonia;Terramazonia;483
Everyday Libbido - 150 g - Terramazonia;Terramazonia;484
Everyday Powercoffee - 150g - Terramazonia;Terramazonia;485
Everyday Relax  - 150g - Terramazonia;Terramazonia;486
Farinha da Casca de Maracuja - 200g -  Terramazonia Superplants;Terramazonia;487
Farinha da Casca de Maracuja - 200g -  Terramazonia Superplants Lote: 223 Val 04/22;Terramazonia;488
Farinha de Banana Verde 200g;Terramazonia;489
Farinha de Cara Roxo - 200g - Terramazonia Superplants;Terramazonia;490
Farinha de Cara Roxo - 200g - Terramazonia Superplants  Lote 224 Val 06/22;Terramazonia;491
Farinha de Cara Roxo - 200g - Terramazonia Superplants  Lote 250 Val 06/22;Terramazonia;492
Farinha de Cubiu  - 200g - Terramazonia Superplants;Terramazonia;493
Farinha de Cubiu  - 200g - Terramazonia Superplants Lote: 239 Val 05/22;Terramazonia;494
Farinha de Pupunha - 200g - Terramazonia Superplants;Terramazonia;495
Farinha de Pupunha - 200g - Terramazonia Superplants Lote: 207 val 02/22;Terramazonia;496
Farinha de Pupunha - 200g - Terramazonia Superplants Lote: 228 Val 04/22;Terramazonia;497
Farinha de Pupunha - 200g - Terramazonia Superplants Lote: 256 Val 07/22;Terramazonia;498
Farinha de pupunha Lote: 228 Val 04/22;Terramazonia;499
Geleia de Abacaxi com Pimenta - 240g -  Terramazonia;Terramazonia;500
Geleia de Abacaxi com Pimenta - 240g -  Terramazonia  Lote 185 Val 02/21;Terramazonia;501
Geleia de Acai com Banana 240g;Terramazonia;502
Geleia de Banana com Tucuma - 240g - Terramazonia;Terramazonia;503
Geleia de Banana com Tucuma - 240g - Terramazonia  Lote 189 Val 02/21;Terramazonia;504
Geleia de Cubiu com Abacaxi - 240g - Terramazonia;Terramazonia;505
Geleia de Cubiu com Abacaxi - 240g - Terramazonia   Lote 208 Val 03/21;Terramazonia;506
Geleia de Cupuacu com Castanha - 240g - Terramazonia;Terramazonia;507
Geleia de Maracuja com Pimenta - 240g - Terramazonia;Terramazonia;508
Geleia de Maracuja com Pimenta - 240g - Terramazonia Lote: 169 Val 01/21;Terramazonia;509
Geleia Light de Cupuacu com Castanha - 240g - Terramazonia;Terramazonia;510
Gengibre em Po - 200 g - Terramazonia;Terramazonia;511
Gengibre em Po 200g;Terramazonia;512
"Gengibre em Po 200g - Terramazonia Lote:231;Val 05/22";Terramazonia;513
"Gengibre em Po 200g - Terramazonia Lote:240;Val 06/22";Terramazonia;514
Gengibre em Po 200g Lote: 231 Val 05/22;Terramazonia;515
Guarana em Po - 200g - Terramazonia Lote:226 Val 04/22;Terramazonia;516
Guarana em Po 200g;Terramazonia;517
Guarana em Po 200g Lote 212 Val 03/22;Terramazonia;518
Guarana em Po 200g Lote:226 Val 04/22;Terramazonia;519
Guarana em Po 200g Lote:248 Val 06/22;Terramazonia;520
Guarana em po Certificado Organico - Selecionado 125g;Terramazonia;521
Guarana em Po Organico - 125g;Terramazonia;522
Guarana em po Terramazonia Lote:226 Val 04/22;Terramazonia;523
Lote: 278 Val 09/21;Terramazonia;524
Lote:275 Val 09/22;Terramazonia;525
Oleo de Castanha do Brasil (Uso culinario) - 290 ml - Terramazonia;Terramazonia;526
Oleo de Castanha do Brasil (Uso culinario) - 290 ml - Terramazonia  Lote 251 Val 06/21;Terramazonia;527
Pimenta Murupi em Po - 40g - Terramazonia;Terramazonia;528
Pimenta Murupi em Po - 40g - Terramazonia Lote: 258 Val 07/21;Terramazonia;529
Pimenta Murupi em Po - 40g - Terramazonia Lote: 278 Val 09/21;Terramazonia;530
Tempero Amazonico;Terramazonia;531
Tempero Amazonico - 40 g - Terramazonia;Terramazonia;532
Tempero Amazonico - 40 g - Terramazonia Lote: 259 Val 07/21;Terramazonia;533
Tempero Amazonico - 40 g - Terramazonia Lote: 276 Val 09/21;Terramazonia;534
Tempero Amazonico - 40g - Terramazonia;Terramazonia;535
Balaio de aruma 25cm;Tucum;536
Jogo de Cuias Pretas;Tucum;537
Urutu de aruma Baniwa M;Tucum;538
Urutu de aruma Baniwa mini;Tucum;539
Urutu de aruma Baniwa P;Tucum;540
Balaio - 20 cm - Urucuna;Urucuna;541
Balaio Baniwa 20cm - Urucuna;Urucuna;542
Cesto Paiter Surui - 12 cm - Urucuna;Urucuna;543
Cesto Paiter Surui - 20 cm - Urucuna;Urucuna;544
CESTOS PARAKANA NATURAL;Urucuna;545
CESTOS PARAKANA ROSA;Urucuna;546
Urutu Baniwa - 30 cm - Urucuna;Urucuna;547
Urutu Baniwa P - Urucuna;Urucuna;548
Urutu PQ Clarinho - Urucuna;Urucuna;549
Urutu Ticuna 13 cm - Urucuna;Urucuna;550
Urutu Ticuna 16 cm - Urucuna;Urucuna;551
Xoto Yanomami pq - Urucuna;Urucuna;552
CAMU CAMU COOL DRIED 500 G;Yanadu;553
