ns1:natOp;Marca;Produto;ns1:uCom;Quantitade;Valor Unitario;ns1:vProd
Venda de mercadorias;;Cafe Apui Organico;UN;7;18;126
Venda de mercadorias;;FLOCAO MILHO PURO MILHO NAO TRANSGENICO;und;30;2,25;67,5
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;1;21;21
Venda de mercadorias;;ARGILA BRANCA kg;KG;2;85,55;171,1
Venda de mercadorias;;ARGILA  VERDE kg;kg;2;119,65;239,3
Venda de mercadorias;;ARGILA VERMELHA kg;kg;2;161,1;322,2
Venda de mercadorias;;ARGILA AMARELA kg;kg;2;161,1;322,2
Venda de mercadorias;;Oleo Acai;litro;2;430,47;860,94
Venda de mercadorias;;Granola Tapioca 50g;UN;10;3,6;36
Venda de mercadorias;;Castanha do Brasil Beneficiada 125g;fd;5;11,88;59,4
Venda de mercadorias;;Guarana em po Certificado Organico - Selecionado 125g;UN;2;21,6;43,2
Venda de mercadorias;;KIT 6 Geleias 40g;UN;2;54;108
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;30;10,8;324
Venda de mercadorias;;FLOCAO MILHO PURO MILHO NAO TRANSGENICO;und;24;3;72
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;9;10,8;97,2
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;9;10,8;97,2
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;UN;9;10,8;97,2
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;14;10,8;151,2
Venda de mercadorias;;Chocolate Nakau 81% Cacau 40g;UN;7;9,6;67,2
Venda de mercadorias;;Chocolate Nakau 72% Cacau 40g;UN;4;9,6;38,4
Venda de mercadorias;;Chocolate Nakau 54% Cacau 40g;UN;4;9,6;38,4
Venda de mercadorias;;Chocolate Nakau 63% Cacau 40g;UN;4;9,6;38,4
Venda de mercadorias;;Chocolate Nakau 72% Cacau 40g;UN;1;15;15
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;1;16,5;16,5
Venda de mercadorias;;Geleia de Priprioca 130g;UN;1;25;25
