,ns1:natOp,Marca_x,Produto,ns1:uCom,Quantitade,Valor Unitario,ns1:vProd,Marca_y,Index
58,Venda de mercadorias,,Nego Bom de Umbu em cubos,UN,6,"6,48","38,88",Coopercuc,37.0
59,Venda de mercadorias,,Geleia de Cacau com Cumaru - 130g,UN,3,"11,9","35,7",Manioca,225.0
60,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,2,"28,78","57,56",Peabiru,363.0
61,Venda de mercadorias,,Granola Tapioca 50g,UN,6,"3,6","21,6",Manioca,250.0
62,Venda de mercadorias,,Geleia de Pimenta 130g,UN,2,"14,28","28,56",Manioca,239.0
63,Venda de mercadorias,,Farinha Tapioca 150g,UN,2,"9,07","18,14",Manioca,216.0
64,Venda de mercadorias,,Castanha do Brasil Beneficiada 125g,fd,15,"11,88","178,2",Floresta em Pé,178.0
65,Venda de mercadorias,,KIT 6 Geleias 40g,UN,4,54,216,,
66,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,15,"10,8",162,Nakau,315.0
67,Venda de mercadorias,,Geleia de Acai 130g,UN,1,"18,8","18,8",Manioca,223.0
68,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,2,"13,5",27,Nakau,304.0
69,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,1,"13,5","13,5",Nakau,306.0
70,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,1,"13,5","13,5",Nakau,315.0
71,Venda de mercadorias,,Chocolate Nakau 81% Cacau 40g,UN,2,12,24,Nakau,317.0
72,Venda de mercadorias,,Doce de Umbu Organico,und,1,12,12,Coopercuc,26.0
73,Venda de mercadorias,,KIT 6 Geleias 40g,UN,1,"67,5","67,5",,
74,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,2,25,50,Manioca,258.0
75,Venda de mercadorias,,Kit Doces Caatinga Organico,UN,1,"15,6","15,6",Coopercuc,34.0
76,Venda de mercadorias,,Cafe Apui Organico,UN,7,18,126,Café Apuí,17.0
77,Venda de mercadorias,,FLOCAO MILHO PURO MILHO NAO TRANSGENICO,und,30,"2,25","67,5",Coopercuc,31.0
78,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,1,21,21,Manioca,258.0
79,Venda de mercadorias,,ARGILA BRANCA kg,KG,2,"85,55","171,1",Simbioze Amazonica,436.0
80,Venda de mercadorias,,ARGILA  VERDE kg,kg,2,"119,65","239,3",Oleicos,335.0
81,Venda de mercadorias,,ARGILA VERMELHA kg,kg,2,"161,1","322,2",Oleicos,342.0
82,Venda de mercadorias,,ARGILA AMARELA kg,kg,2,"161,1","322,2",Oleicos,336.0
83,Venda de mercadorias,,Oleo Acai,litro,2,"430,47","860,94",Oleicos,331.0
84,Venda de mercadorias,,Granola Tapioca 50g,UN,10,"3,6",36,Manioca,250.0
85,Venda de mercadorias,,Castanha do Brasil Beneficiada 125g,fd,5,"11,88","59,4",Floresta em Pé,178.0
86,Venda de mercadorias,,Guarana em po Certificado Organico - Selecionado 125g,UN,2,"21,6","43,2",Terramazonia,521.0
87,Venda de mercadorias,,KIT 6 Geleias 40g,UN,2,54,108,,
88,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,30,"10,8",324,Nakau,306.0
89,Venda de mercadorias,,FLOCAO MILHO PURO MILHO NAO TRANSGENICO,und,24,3,72,Coopercuc,31.0
90,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,9,"10,8","97,2",Nakau,304.0
91,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,9,"10,8","97,2",Nakau,306.0
